shadowsocks=192.168.1.1:33501, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 01
shadowsocks=192.168.1.1:33513, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 13
shadowsocks=192.168.1.1:33514, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 14
shadowsocks=192.168.1.1:33515, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 15
shadowsocks=192.168.1.1:33516, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 16
shadowsocks=192.168.1.1:33517, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 17
shadowsocks=192.168.1.1:33518, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 18
shadowsocks=192.168.1.1:33519, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 19
shadowsocks=192.168.1.1:33520, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 20
shadowsocks=192.168.1.1:33551, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇳 TWN 01
shadowsocks=192.168.1.1:33552, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇳 TWN 02
shadowsocks=192.168.1.1:33553, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇳 TWN 03
shadowsocks=192.168.1.1:33554, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇳 TWN 04
shadowsocks=192.168.1.1:33555, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇳 TWN 05
shadowsocks=192.168.1.1:33601, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 01
shadowsocks=192.168.1.1:33602, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 02
shadowsocks=192.168.1.1:33603, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 03
shadowsocks=192.168.1.1:33604, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 04
shadowsocks=192.168.1.1:33605, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 05
shadowsocks=192.168.1.1:33606, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 06
shadowsocks=192.168.1.1:33607, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 07
shadowsocks=192.168.1.1:33608, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 08
shadowsocks=192.168.1.1:33609, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 09
shadowsocks=192.168.1.1:33610, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 10
shadowsocks=192.168.1.1:33611, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 11
shadowsocks=192.168.1.1:33612, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 12
shadowsocks=192.168.1.1:33613, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 13
shadowsocks=192.168.1.1:33614, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 14
shadowsocks=192.168.1.1:33615, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 15
shadowsocks=192.168.1.1:33616, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 16
shadowsocks=192.168.1.1:33617, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 17
shadowsocks=192.168.1.1:33618, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇸🇬 SGP 18
shadowsocks=192.168.1.1:33651, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇰🇷 KOR 01
shadowsocks=192.168.1.1:33652, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇰🇷 KOR 02
shadowsocks=192.168.1.1:33701, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 01
shadowsocks=192.168.1.1:33702, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 02
shadowsocks=192.168.1.1:33703, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 03
shadowsocks=192.168.1.1:33704, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 04
shadowsocks=192.168.1.1:33705, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 05
shadowsocks=192.168.1.1:33706, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 06
shadowsocks=192.168.1.1:33707, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 07
shadowsocks=192.168.1.1:33708, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 08
shadowsocks=192.168.1.1:33709, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 09
shadowsocks=192.168.1.1:33710, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 10
shadowsocks=192.168.1.1:33711, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 11
shadowsocks=192.168.1.1:33712, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 12
shadowsocks=192.168.1.1:33713, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 13
shadowsocks=192.168.1.1:33714, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 14
shadowsocks=192.168.1.1:33715, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 15
shadowsocks=192.168.1.1:33716, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 16
shadowsocks=192.168.1.1:33717, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 17
shadowsocks=192.168.1.1:33718, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇯🇵 JPN 18
shadowsocks=192.168.1.1:33751, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 01
shadowsocks=192.168.1.1:33752, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 02
shadowsocks=192.168.1.1:33753, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 03
shadowsocks=192.168.1.1:33754, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 04
shadowsocks=192.168.1.1:33755, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 05
shadowsocks=192.168.1.1:33756, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 06
shadowsocks=192.168.1.1:33757, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 07
shadowsocks=192.168.1.1:33758, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 08
shadowsocks=192.168.1.1:33759, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 09
shadowsocks=192.168.1.1:33760, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 10
shadowsocks=192.168.1.1:33761, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 11
shadowsocks=192.168.1.1:33762, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 12
shadowsocks=192.168.1.1:33763, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 13
shadowsocks=192.168.1.1:33764, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 14
shadowsocks=192.168.1.1:33765, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 15
shadowsocks=192.168.1.1:33766, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇺🇸 USA 16
shadowsocks=192.168.1.1:33801, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇮🇳 IND 01
shadowsocks=192.168.1.1:33802, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇮🇳 IND 02
shadowsocks=192.168.1.1:33851, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇦🇺 AUS 01
shadowsocks=192.168.1.1:33901, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 01
shadowsocks=192.168.1.1:33902, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 02
shadowsocks=192.168.1.1:33903, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 03
shadowsocks=192.168.1.1:33904, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 04
shadowsocks=192.168.1.1:33905, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 05
shadowsocks=192.168.1.1:33906, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇪 DEU 06
shadowsocks=192.168.1.1:33951, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇫🇷 FRA 01
shadowsocks=192.168.1.1:37001, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇵🇱 POL 01
shadowsocks=192.168.1.1:37051, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇳🇱 NLD 01
shadowsocks=192.168.1.1:37052, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇳🇱 NLD 02
shadowsocks=192.168.1.1:37053, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇳🇱 NLD 03
shadowsocks=192.168.1.1:37101, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇪🇸 ESP 01
shadowsocks=192.168.1.1:37151, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇷🇺 RUS 01
shadowsocks=192.168.1.1:37152, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇷🇺 RUS 02
shadowsocks=192.168.1.1:37201, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇮🇸 ISL 01
shadowsocks=192.168.1.1:37251, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇩🇰 DNK 01
shadowsocks=192.168.1.1:37301, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇦 CAN 01
shadowsocks=192.168.1.1:37302, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇨🇦 CAN 02
shadowsocks=192.168.1.1:37351, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇬🇧 GBR 01
shadowsocks=192.168.1.1:37352, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇬🇧 GBR 02
shadowsocks=192.168.1.1:37353, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇬🇧 GBR 03
shadowsocks=192.168.1.1:37354, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇬🇧 GBR 04
shadowsocks=192.168.1.1:37303, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=TUR 01
shadowsocks=192.168.1.1:37304, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=TUR 02
